Ip,no_lut,1.86
Ip,no_lut,1.93
Ip,no_lut,1.71
Ip,no_lut,1.88
Ip,no_lut,2.04
Ip,no_lut,1.67
Ip,no_lut,1.44
Ip,no_lut,1.47
Ip,no_lut,1.48
Ip,no_lut,1.44
Ip,vector_lut,1.45
Ip,vector_lut,1.45
Ip,vector_lut,1.45
Ip,vector_lut,1.46
Ip,vector_lut,1.46
Ip,vector_lut,1.44
Ip,vector_lut,1.44
Ip,vector_lut,1.45
Ip,vector_lut,1.45
Ip,vector_lut,1.44
III,no_lut,7.50
III,no_lut,7.30
III,no_lut,7.51
III,no_lut,8.76
III,no_lut,7.77
III,no_lut,7.35
III,no_lut,7.33
III,no_lut,7.37
III,no_lut,7.34
III,no_lut,7.33
III,vector_lut,7.38
III,vector_lut,7.41
III,vector_lut,7.35
III,vector_lut,7.35
III,vector_lut,7.35
III,vector_lut,7.32
III,vector_lut,7.38
III,vector_lut,7.39
III,vector_lut,7.38
III,vector_lut,7.31
V,no_lut,21.59
V,no_lut,21.71
V,no_lut,21.50
V,no_lut,23.26
V,no_lut,22.06
V,no_lut,21.52
V,no_lut,21.36
V,no_lut,21.64
V,no_lut,27.16
V,no_lut,23.05
V,vector_lut,21.51
V,vector_lut,25.75
V,vector_lut,24.27
V,vector_lut,25.08
V,vector_lut,27.57
V,vector_lut,22.76
V,vector_lut,21.83
V,vector_lut,23.67
V,vector_lut,21.45
V,vector_lut,21.37
