1,baseline,1.36
1,baseline,1.33
1,baseline,1.34
1,baseline,1.38
1,baseline,1.34
1,baseline,1.36
1,baseline,1.39
1,baseline,1.34
1,baseline,1.41
1,baseline,1.39
3,baseline,1.33
3,baseline,1.33
3,baseline,1.33
3,baseline,1.33
3,baseline,1.33
3,baseline,1.35
3,baseline,1.35
3,baseline,1.34
3,baseline,1.36
3,baseline,1.35
5,baseline,1.35
5,baseline,1.39
5,baseline,1.34
5,baseline,1.34
5,baseline,1.33
5,baseline,1.33
5,baseline,1.39
5,baseline,1.34
5,baseline,1.35
5,baseline,1.35
1,openmp,1.33
1,openmp,1.34
1,openmp,1.36
1,openmp,2.17
1,openmp,1.39
1,openmp,1.35
1,openmp,1.39
1,openmp,1.45
1,openmp,1.36
1,openmp,1.37
3,openmp,1.36
3,openmp,1.37
3,openmp,1.46
3,openmp,1.39
3,openmp,1.36
3,openmp,1.34
3,openmp,1.36
3,openmp,1.34
3,openmp,1.35
3,openmp,1.36
5,openmp,1.34
5,openmp,1.38
5,openmp,1.36
5,openmp,1.35
5,openmp,1.33
5,openmp,1.34
5,openmp,1.37
5,openmp,1.36
5,openmp,1.37
5,openmp,1.35
