1,no_lut,1.41
1,no_lut,1.36
1,no_lut,1.34
1,no_lut,1.33
1,no_lut,1.56
1,no_lut,1.43
1,no_lut,1.37
1,no_lut,1.35
1,no_lut,1.34
1,no_lut,1.35
1,lut,1.34
1,lut,1.31
1,lut,1.32
1,lut,1.33
1,lut,1.34
1,lut,1.35
1,lut,1.36
1,lut,1.31
1,lut,1.31
1,lut,1.34
3,no_lut,1.33
3,no_lut,1.34
3,no_lut,1.39
3,no_lut,1.37
3,no_lut,1.39
3,no_lut,1.36
3,no_lut,1.36
3,no_lut,1.34
3,no_lut,1.37
3,no_lut,1.35
3,lut,1.36
3,lut,1.32
3,lut,1.31
3,lut,1.33
3,lut,1.32
3,lut,1.40
3,lut,1.40
3,lut,1.32
3,lut,1.38
3,lut,1.34
5,no_lut,1.39
5,no_lut,1.44
5,no_lut,1.37
5,no_lut,1.35
5,no_lut,1.43
5,no_lut,1.42
5,no_lut,1.45
5,no_lut,1.37
5,no_lut,1.34
5,no_lut,1.35
5,lut,1.34
5,lut,1.32
5,lut,1.35
5,lut,1.36
5,lut,1.32
5,lut,1.35
5,lut,1.33
5,lut,1.39
5,lut,1.32
5,lut,1.32
