Ip,no_lut,1.47
Ip,no_lut,1.49
Ip,no_lut,1.44
Ip,no_lut,1.45
Ip,no_lut,1.45
Ip,no_lut,1.45
Ip,no_lut,1.45
Ip,no_lut,1.45
Ip,no_lut,1.47
Ip,no_lut,1.46
Ip,lut,6.57
Ip,lut,6.71
Ip,lut,6.79
Ip,lut,6.65
Ip,lut,6.61
Ip,lut,6.59
Ip,lut,6.61
Ip,lut,6.65
Ip,lut,6.86
Ip,lut,7.41
III,no_lut,7.89
III,no_lut,7.45
III,no_lut,7.65
III,no_lut,7.37
III,no_lut,8.03
III,no_lut,7.71
III,no_lut,7.60
III,no_lut,8.02
III,no_lut,7.96
III,no_lut,7.39
III,lut,43.76
III,lut,36.98
III,lut,38.95
III,lut,31.00
III,lut,30.70
III,lut,30.47
III,lut,29.93
III,lut,29.82
III,lut,29.77
III,lut,29.95
V,no_lut,21.45
V,no_lut,21.88
V,no_lut,21.59
V,no_lut,21.53
V,no_lut,24.65
V,no_lut,22.37
V,no_lut,21.56
V,no_lut,22.11
V,no_lut,21.63
V,no_lut,21.39
V,lut,91.21
V,lut,95.22
V,lut,90.61
V,lut,86.76
V,lut,86.98
V,lut,87.88
V,lut,87.42
V,lut,87.06
V,lut,87.76
V,lut,87.15
