Ip,no_lut,1.70
Ip,no_lut,1.73
Ip,no_lut,1.50
Ip,no_lut,1.57
Ip,no_lut,1.55
Ip,no_lut,1.46
Ip,no_lut,1.46
Ip,no_lut,1.59
Ip,no_lut,1.46
Ip,no_lut,1.44
Ip,vector_lut,6.61
Ip,vector_lut,6.55
Ip,vector_lut,6.57
Ip,vector_lut,6.59
Ip,vector_lut,6.77
Ip,vector_lut,6.53
Ip,vector_lut,6.69
Ip,vector_lut,6.63
Ip,vector_lut,6.59
Ip,vector_lut,6.59
III,no_lut,7.36
III,no_lut,8.56
III,no_lut,7.57
III,no_lut,7.55
III,no_lut,7.31
III,no_lut,7.32
III,no_lut,7.36
III,no_lut,7.35
III,no_lut,7.29
III,no_lut,7.35
III,vector_lut,30.25
III,vector_lut,29.87
III,vector_lut,32.49
III,vector_lut,37.34
III,vector_lut,37.73
III,vector_lut,34.43
III,vector_lut,30.76
III,vector_lut,30.13
III,vector_lut,30.29
III,vector_lut,30.00
V,no_lut,22.16
V,no_lut,21.50
V,no_lut,21.51
V,no_lut,21.76
V,no_lut,21.62
V,no_lut,21.70
V,no_lut,21.81
V,no_lut,21.71
V,no_lut,23.62
V,no_lut,24.18
V,vector_lut,88.31
V,vector_lut,95.69
V,vector_lut,93.44
V,vector_lut,87.45
V,vector_lut,87.49
V,vector_lut,88.91
V,vector_lut,87.28
V,vector_lut,87.60
V,vector_lut,89.23
V,vector_lut,87.27
